model_id,category,subset,subset_name,family,image,miou,dice,pixel_acc
hed_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (15).jpg,0.4553087022569444,0.4766089759061803,0.9106174045138888
hed_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (20).jpg,0.4797770182291667,0.4896798039785705,0.9595540364583334
hed_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (3).jpg,0.4844699435763889,0.4921124781284874,0.9689398871527778
hed_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (6).jpg,0.4710557725694444,0.4850965164678604,0.9421115451388888
hed_watershed,deep_edge,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (8).jpg,0.3756275625064765,0.4496102621849732,0.7214626736111112
hed_watershed,deep_edge,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (18).jpg,0.4895290798611111,0.494709139755469,0.9790581597222222
hed_watershed,deep_edge,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (19).jpg,0.4914822048611111,0.4957045143638851,0.9829644097222222
hed_watershed,deep_edge,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (15).jpg,0.4916178385416667,0.4957734919983586,0.9832356770833334
pidi_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (2).jpg,0.3425971137152778,0.4065965906347085,0.6851942274305556
pidi_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (17).jpg,0.2768419053819444,0.3563683980794413,0.5536838107638888
pidi_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (5).jpg,0.2621120876736111,0.3439285269358771,0.5242241753472222
pidi_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (7).jpg,0.2509765625,0.3342002600780234,0.501953125
pidi_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (19).jpg,0.2775336371527778,0.3569410040819175,0.5550672743055556
pidi_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x10 (15).jpg,0.2601453993055556,0.3422311041324673,0.5202907986111112
pidi_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (13).jpg,0.2740207248263889,0.3540224648220513,0.5480414496527778
pidi_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x10 (13).jpg,0.2552083333333333,0.3379310344827586,0.5104166666666666
pidi_watershed,deep_edge,6280-cast-iron-low,6280 Gray Cast Iron,Cast Iron,6280 x 10 (4).jpg,0.1647316261574074,0.2204955036733113,0.4941948784722222
pidi_watershed,deep_edge,6280-cast-iron-low,6280 Gray Cast Iron,Cast Iron,6280 x 10 (11).jpg,0.1797688802083333,0.2335712397568067,0.539306640625
pidi_watershed,deep_edge,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (1).jpg,0.3803626700963197,0.4530284457957941,0.7304144965277778
pidi_watershed,deep_edge,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (4).jpg,0.4103190104166667,0.4507419989272305,0.8206380208333334
pidi_watershed,deep_edge,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (3).jpg,0.3244086371527778,0.3935046559836794,0.6488172743055556
pidi_watershed,deep_edge,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (2).jpg,0.2714708116319444,0.3518873397914872,0.5429416232638888
pidi_watershed,deep_edge,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (3).jpg,0.2582058376736111,0.3405484696159281,0.5164116753472222
pidi_watershed,deep_edge,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (5).jpg,0.3409152560763889,0.4054097646736238,0.6818305121527778
pidi_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (25).jpg,0.4813639322916667,0.4905050169997512,0.9627278645833334
pidi_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (15).jpg,0.4553087022569444,0.4766089759061803,0.9106174045138888
pidi_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (20).jpg,0.4797770182291667,0.4896798039785705,0.9595540364583334
pidi_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (3).jpg,0.4844699435763889,0.4921124781284874,0.9689398871527778
pidi_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (6).jpg,0.4710557725694444,0.4850965164678604,0.9421115451388888
pidi_watershed,deep_edge,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (8).jpg,0.4026963975694444,0.4461039156173934,0.8053927951388888
pidi_watershed,deep_edge,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (18).jpg,0.4895290798611111,0.494709139755469,0.9790581597222222
pidi_watershed,deep_edge,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (19).jpg,0.4914822048611111,0.4957045143638851,0.9829644097222222
pidi_watershed,deep_edge,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (15).jpg,0.4916178385416667,0.4957734919983586,0.9832356770833334
texturesam_03,foundation_texture,4130-steel,4130 Steel,Steel,4130x20 (2).jpg,0.33733854204920755,0.4048213605225622,0.6719563802083334
texturesam_03,foundation_texture,4130-steel,4130 Steel,Steel,4130x20 (17).jpg,0.29611374001109875,0.3898624420716173,0.5668402777777778
texturesam_03,foundation_texture,4130-steel,4130 Steel,Steel,4130x20 (5).jpg,0.25723004782894343,0.34143688544762996,0.5120985243055556
texturesam_03,foundation_texture,4130-steel,4130 Steel,Steel,4130x20 (7).jpg,0.26596486350807513,0.36230331860416126,0.5109320746527778
texturesam_03,foundation_texture,4130-steel,4130 Steel,Steel,4130x20 (19).jpg,0.2724429144732642,0.3543421647255016,0.5426432291666666
texturesam_03,foundation_texture,4130-steel,4130 Steel,Steel,4130x10 (15).jpg,0.28232716064099145,0.38061370212777973,0.5367567274305556
texturesam_03,foundation_texture,4130-steel,4130 Steel,Steel,4130x20 (13).jpg,0.29102272623421943,0.38403386014915847,0.5592990451388888
texturesam_03,foundation_texture,4130-steel,4130 Steel,Steel,4130x10 (13).jpg,0.2741280432725358,0.3714311523382633,0.5239529079861112
texturesam_03,foundation_texture,6280-cast-iron-low,6280 Gray Cast Iron,Cast Iron,6280 x 10 (4).jpg,0.29659964796194593,0.4201749716105548,0.5011935763888888
texturesam_03,foundation_texture,6280-cast-iron-low,6280 Gray Cast Iron,Cast Iron,6280 x 10 (11).jpg,0.2722243700576585,0.39113366625467894,0.540283203125
texturesam_03,foundation_texture,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (1).jpg,0.4481537255657409,0.5185719772340831,0.827392578125
texturesam_03,foundation_texture,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (4).jpg,0.4499671479001535,0.5191337311245371,0.831787109375
texturesam_03,foundation_texture,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (3).jpg,0.32358684825684003,0.39906563135174944,0.6385362413194444
texturesam_03,foundation_texture,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (2).jpg,0.29165270261721604,0.3874135216771982,0.5563693576388888
texturesam_03,foundation_texture,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (3).jpg,0.6635405545068888,0.7970130102666289,0.8013509114583334
texturesam_03,foundation_texture,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (5).jpg,0.6081526468144265,0.7405552442826775,0.8171657986111112
texturesam_03,foundation_texture,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (25).jpg,0.5945791711887719,0.6739760437721288,0.9659016927083334
texturesam_03,foundation_texture,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (15).jpg,0.7942099193311849,0.8758309569685292,0.9615885416666666
texturesam_03,foundation_texture,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (20).jpg,0.6025090393387739,0.6847398152047701,0.9651692708333334
texturesam_03,foundation_texture,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (3).jpg,0.6546300961854972,0.7484306900055522,0.9615614149305556
texturesam_03,foundation_texture,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (6).jpg,0.721100956982807,0.8177267605322917,0.9489203559027778
texturesam_03,foundation_texture,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (8).jpg,0.48378407218757835,0.5801334928214514,0.823486328125
texturesam_03,foundation_texture,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (18).jpg,0.485104645485234,0.49639545986099787,0.96484375
texturesam_03,foundation_texture,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (19).jpg,0.4879192108008347,0.49898842162702334,0.9689127604166666
texturesam_03,foundation_texture,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (15).jpg,0.4909760959512204,0.5044794978123383,0.9696180555555556
